Date,Rounds of Play,Hit % Baseline,1st Serve %,2nd Serve %,Service Games Played,Duration in min
2024-09-19,4,75,54,84,22,66
2024-09-20,4,75,51,69,13,55
2024-09-23,3,77,48,62,15,45
2024-09-24,2,79,52,88,6,25
2024-09-25,3,79,58,72,11,40
2024-09-28,4,78,64,85,15,60
2024-09-29,3,80,56,81,9,45
2024-09-29,2,74,58,86,7,30
2024-10-02,3,75,45,66,9,50
2024-10-03,3,80,61,75,9,45
2024-10-05,2,84,42,77,2,30
2024-10-06,1,80,60,50,3,20


